Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norris Cole,24:37,5,11,.455,1,2,.500,0,1,.000,0,1,1,2,0,1,4,2,11,+1
Shane Battier,23:56,0,3,.000,0,3,.000,2,2,1.000,2,3,5,2,1,0,0,1,2,-7
Terrel Harris,15:12,1,4,.250,0,2,.000,1,2,.500,1,0,1,0,0,0,1,2,3,+1
Juwan Howard,8:49,2,3,.667,0,0,,0,0,,1,1,2,1,0,0,2,3,4,-3
Rodrigue Beaubois,37:38,7,15,.467,2,5,.400,0,0,,1,5,6,5,1,0,2,2,16,+4
Dirk Nowitzki,32:42,6,15,.400,1,4,.250,4,5,.800,1,6,7,0,0,0,0,3,17,+10
Delonte West,30:47,6,13,.462,0,1,.000,1,1,1.000,0,3,3,2,0,0,1,0,13,-17
Shawn Marion,30:33,2,5,.400,0,1,.000,2,2,1.000,0,6,6,0,2,2,1,0,6,-26
Brendan Haywood,14:19,0,2,.000,0,0,,0,0,,1,2,3,0,1,0,1,0,0,-2
Vince Carter,28:52,4,11,.364,1,4,.250,6,7,.857,1,1,2,1,0,0,1,2,15,-6
Dominique Jones,25:24,3,7,.429,0,0,,2,2,1.000,0,3,3,4,3,1,2,4,8,-1
Ian Mahinmi,16:54,0,4,.000,0,0,,2,2,1.000,3,3,6,0,0,0,4,2,2,-6
Brandan Wright,16:47,3,6,.500,0,0,,0,0,,3,4,7,0,0,0,0,1,6,-2
Kelenna Azubuike,4:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Brian Cardinal,1:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
Luol Deng,43:07,8,15,.533,4,7,.571,2,2,1.000,0,6,6,3,1,0,3,3,22,+13
Joakim Noah,39:08,2,7,.286,0,0,,4,8,.500,5,9,14,8,0,1,3,2,8,+19
Derrick Rose,31:40,5,9,.556,1,3,.333,0,0,,0,0,0,8,0,0,1,0,11,+7
Carlos Boozer,28:15,6,11,.545,0,0,,0,0,,0,10,10,2,1,0,1,0,12,+6
Richard Hamilton,27:46,9,16,.563,1,2,.500,0,0,,0,2,2,2,1,0,0,2,19,+15
Taj Gibson,23:42,1,6,.167,0,0,,0,0,,3,5,8,0,1,1,0,2,2,+2
C.J. Watson,19:39,2,8,.250,0,3,.000,0,0,,0,2,2,5,1,0,2,1,4,+4
Kyle Korver,17:33,4,10,.400,3,5,.600,0,0,,0,2,2,1,0,0,0,2,11,-2
Ronnie Brewer,5:44,1,2,.500,0,0,,2,2,1.000,0,2,2,0,1,0,0,0,4,-11
Ömer Aşık,3:26,0,0,,0,0,,0,0,,0,0,0,0,2,0,0,1,0,-3
Klay Thompson,43:28,9,19,.474,2,5,.400,4,4,1.000,0,4,4,3,1,0,3,3,24,-4
Charles Jenkins,40:22,5,13,.385,0,1,.000,6,6,1.000,0,5,5,8,1,0,5,0,16,+4
Richard Jefferson,37:00,4,12,.333,0,6,.000,1,1,1.000,1,5,6,2,1,2,2,3,9,-6
Jeremy Tyler,26:57,4,7,.571,0,0,,0,0,,1,5,6,0,0,1,2,2,8,+6
Mickell Gladness,11:33,1,2,.500,0,0,,2,4,.500,1,0,1,0,0,0,0,0,4,-1
Brandon Rush,34:09,8,11,.727,3,4,.750,0,1,.000,0,7,7,1,1,1,3,2,19,+3
Dominic McGuire,28:55,3,7,.429,0,0,,2,2,1.000,3,1,4,2,2,1,0,2,8,-2
Mikki Moore,17:36,2,2,1.000,0,0,,4,4,1.000,2,1,3,1,0,0,2,4,8,-15
Andris Biedriņš,Not With Team,,,,,,,,,,,,,,,,,,,
Goran Dragić,40:42,8,17,.471,2,5,.400,0,0,,2,1,3,7,3,0,5,5,18,+3
Courtney Lee,38:41,7,17,.412,4,10,.400,2,2,1.000,1,1,2,1,1,0,1,3,20,+11
Luis Scola,28:15,6,13,.462,0,0,,1,2,.500,1,4,5,1,2,0,2,5,13,+3
Marcus Camby,23:32,2,6,.333,0,0,,0,0,,2,7,9,5,2,2,0,3,4,+11
Chandler Parsons,22:01,3,7,.429,2,4,.500,0,0,,2,3,5,0,2,0,0,0,8,+3
Chase Budinger,27:10,4,7,.571,2,4,.500,1,2,.500,0,3,3,1,0,0,2,0,11,-4
Patrick Patterson,25:38,5,8,.625,0,0,,0,0,,4,1,5,3,0,0,3,2,10,+3
Samuel Dalembert,18:32,2,2,1.000,0,0,,5,8,.625,3,5,8,0,0,3,0,1,9,-9
Marcus Morris,8:11,3,4,.750,0,1,.000,0,0,,0,0,0,1,0,0,0,0,6,-6
Kyle Lowry,7:18,0,3,.000,0,2,.000,0,1,.000,0,0,0,3,1,0,0,1,0,0
Wesley Matthews,42:34,7,17,.412,2,8,.250,0,0,,1,6,7,0,1,0,1,2,16,0
Luke Babbitt,41:29,3,10,.300,2,6,.333,2,2,1.000,1,6,7,2,2,0,3,1,10,-9
J.J. Hickson,38:21,9,16,.563,0,0,,5,7,.714,7,6,13,1,0,0,4,4,23,+4
Nolan Smith,35:01,2,8,.250,0,2,.000,4,4,1.000,0,2,2,6,0,0,3,1,8,-2
Hasheem Thabeet,19:58,1,5,.200,0,0,,1,4,.250,4,4,8,0,1,0,1,2,3,-7
Jamal Crawford,31:36,5,13,.385,2,6,.333,9,10,.900,1,1,2,3,3,0,2,1,21,+3
Kurt Thomas,16:02,2,4,.500,0,0,,2,2,1.000,1,3,4,1,0,0,1,2,6,-5
Jonny Flynn,13:26,0,5,.000,0,2,.000,2,2,1.000,1,2,3,3,0,0,0,2,2,-1
Craig Smith,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Joel Przybilla,Not With Team,,,,,,,,,,,,,,,,,,,
Raymond Felton,Not With Team,,,,,,,,,,,,,,,,,,,
Nicolas Batum,Did Not Dress,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,Not With Team,,,,,,,,,,,,,,,,,,,
Rudy Gay,33:19,9,16,.563,1,4,.250,2,2,1.000,0,6,6,3,1,1,1,3,21,+4
Marreese Speights,31:56,5,12,.417,0,0,,3,4,.750,7,4,11,2,0,0,4,4,13,-1
Mike Conley,30:23,2,10,.200,1,3,.333,0,0,,1,1,2,3,2,0,0,2,5,+2
Marc Gasol,29:51,6,9,.667,0,0,,0,0,,2,2,4,4,0,2,0,3,12,+8
Tony Allen,21:14,3,7,.429,0,1,.000,0,0,,3,2,5,2,2,0,0,0,6,+15
O.J. Mayo,27:52,5,14,.357,2,6,.333,2,2,1.000,0,3,3,3,0,1,2,1,14,-5
Dante Cunningham,19:05,6,9,.667,0,0,,0,0,,3,5,8,0,1,2,0,4,12,-2
Quincy Pondexter,14:41,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,0,2,4,0
Josh Selby,9:58,0,2,.000,0,1,.000,2,2,1.000,0,1,1,1,0,0,0,0,2,+3
Hamed Haddadi,9:41,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,4,4,+7
Gilbert Arenas,7:29,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,0,1,2,0,-3
Lester Hudson,4:31,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-8
Gerald Wallace,34:35,7,12,.583,1,2,.500,3,4,.750,1,10,11,4,0,0,2,2,18,-8
Kris Humphries,33:40,6,11,.545,0,0,,0,1,.000,2,5,7,3,2,1,3,4,12,-12
MarShon Brooks,31:12,7,18,.389,1,2,.500,2,3,.667,0,1,1,2,1,0,3,3,17,-18
Sundiata Gaines,27:24,5,8,.625,1,3,.333,0,1,.000,0,0,0,3,2,0,2,3,11,-15
Jordan Williams,21:05,2,4,.500,0,0,,0,0,,2,4,6,0,2,0,0,0,4,-6
Gerald Green,25:26,6,12,.500,0,1,.000,4,4,1.000,0,3,3,2,0,0,2,2,16,-5
Johan Petro,19:44,3,7,.429,0,0,,2,2,1.000,2,6,8,2,0,0,0,2,8,+4
Armon Johnson,19:04,1,5,.200,0,0,,0,0,,0,3,3,2,0,0,2,5,2,+6
Anthony Morrow,18:27,2,7,.286,0,2,.000,0,0,,0,1,1,1,1,0,0,0,4,-1
DeShawn Stevenson,9:23,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,2,3,0
Shelden Williams,Did Not Dress,,,,,,,,,,,,,,,,,,,
Deron Williams,Did Not Dress,,,,,,,,,,,,,,,,,,,
Jordan Farmar,Did Not Dress,,,,,,,,,,,,,,,,,,,
Luc Mbah a Moute,42:48,4,9,.444,0,0,,0,2,.000,0,7,7,2,0,2,0,2,8,+17
Brandon Jennings,37:49,9,18,.500,3,5,.600,9,11,.818,3,3,6,6,4,0,4,1,30,+13
Ersan İlyasova,34:12,7,13,.538,1,3,.333,2,4,.500,6,11,17,3,3,2,1,4,17,+10
Monta Ellis,32:37,5,14,.357,0,0,,2,3,.667,0,2,2,5,0,0,1,5,12,+7
Drew Gooden,32:28,6,13,.462,0,1,.000,4,5,.800,2,6,8,3,1,0,5,1,16,+23
Mike Dunleavy,17:29,2,8,.250,0,3,.000,3,4,.750,1,5,6,1,0,0,0,2,7,-7
Shaun Livingston,16:57,4,5,.800,0,0,,4,6,.667,0,2,2,1,0,0,1,1,12,+4
Ekpe Udoh,15:32,1,2,.500,0,0,,2,2,1.000,1,1,2,1,0,0,0,0,4,-12
Beno Udrih,10:09,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Larry Sanders,Player Suspended,,,,,,,,,,,,,,,,,,,
Carlos Delfino,Did Not Dress,,,,,,,,,,,,,,,,,,,
Glen Davis,45:29,8,17,.471,0,0,,1,3,.333,4,9,13,2,4,1,3,1,17,+6
Ryan Anderson,41:58,8,19,.421,5,12,.417,0,0,,4,1,5,0,0,1,0,2,21,-19
Jason Richardson,39:52,8,17,.471,5,9,.556,0,0,,2,5,7,0,0,0,0,2,21,+10
Jameer Nelson,38:38,9,19,.474,3,8,.375,2,2,1.000,0,1,1,11,1,0,4,5,23,-9
J.J. Redick,30:53,5,9,.556,1,3,.333,4,4,1.000,1,3,4,3,0,0,0,1,15,-10
Quentin Richardson,35:15,3,8,.375,1,5,.200,1,2,.500,2,5,7,3,0,2,1,2,8,-20
Daniel Orton,11:09,1,3,.333,0,0,,0,2,.000,2,1,3,0,0,2,0,5,2,+4
Chris Duhon,8:38,0,0,,0,0,,0,0,,0,2,2,1,0,0,1,0,0,-3
Justin Harper,7:24,0,3,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,0,0,-11
Ish Smith,5:44,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+2
Paul Millsap,45:55,5,13,.385,0,0,,8,8,1.000,2,7,9,1,4,1,1,2,18,+23
Al Jefferson,40:21,10,22,.455,0,0,,1,2,.500,2,8,10,2,1,3,0,4,21,+5
Gordon Hayward,37:41,5,7,.714,1,2,.500,1,1,1.000,0,3,3,2,0,0,6,3,12,-6
Devin Harris,34:42,7,14,.500,2,5,.400,5,8,.625,0,3,3,7,0,1,0,2,21,-1
DeMarre Carroll,18:20,2,4,.500,0,0,,2,2,1.000,3,0,3,1,0,0,0,2,6,-17
Derrick Favors,36:22,8,11,.727,0,0,,0,0,,3,8,11,2,2,1,0,1,16,+21
Alec Burks,20:42,3,7,.429,1,1,1.000,0,0,,2,1,3,0,0,0,0,1,7,+9
Jamaal Tinsley,18:18,3,5,.600,0,0,,1,1,1.000,0,0,0,9,1,0,1,0,7,+11
Enes Kanter,12:39,4,5,.800,0,0,,1,1,1.000,0,2,2,0,0,0,0,0,9,+5
Josh Howard,Did Not Dress,,,,,,,,,,,,,,,,,,,
Raja Bell,Did Not Dress,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,42:19,14,32,.438,3,5,.600,8,9,.889,2,8,10,2,2,0,2,2,39,+6
Iman Shumpert,36:18,4,8,.500,1,1,1.000,2,2,1.000,2,1,3,3,1,0,0,2,11,0
Amar'e Stoudemire,34:24,9,13,.692,0,0,,4,8,.500,1,11,12,0,1,1,4,4,22,-6
Baron Davis,31:21,5,9,.556,3,4,.750,0,0,,0,1,1,10,2,0,4,5,13,-1
Landry Fields,30:27,7,8,.875,3,3,1.000,1,1,1.000,1,3,4,1,1,0,0,3,18,+6
J.R. Smith,31:33,3,7,.429,1,5,.200,0,0,,0,4,4,4,5,0,3,2,7,+2
Steve Novak,20:13,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,2,2,3,-2
Josh Harrellson,7:17,0,1,.000,0,0,,0,0,,1,2,3,0,1,0,1,0,0,+7
Mike Bibby,5:41,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-5
Toney Douglas,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Marvin Williams,38:47,10,14,.714,4,6,.667,5,7,.714,3,8,11,0,1,3,1,4,29,+7
Joe Johnson,37:40,9,14,.643,4,4,1.000,0,3,.000,0,4,4,3,0,0,3,1,22,-2
Josh Smith,36:54,5,13,.385,1,2,.500,3,3,1.000,0,5,5,4,0,3,5,3,14,-1
Jeff Teague,35:51,9,14,.643,1,2,.500,4,6,.667,0,3,3,6,5,1,4,3,23,-1
Kirk Hinrich,27:43,1,4,.250,1,2,.500,0,0,,0,1,1,4,1,0,0,1,3,+2
Willie Green,17:36,2,3,.667,0,0,,2,2,1.000,0,1,1,1,1,0,0,0,6,-4
Ivan Johnson,13:26,0,2,.000,0,0,,1,2,.500,2,2,4,0,3,0,2,2,1,-4
Tracy McGrady,13:02,1,3,.333,0,0,,0,0,,0,0,0,2,1,0,1,0,2,+1
Jannero Pargo,12:06,4,8,.500,4,6,.667,0,0,,0,3,3,1,1,0,2,5,12,0
Vladimir Radmanović,6:55,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,0,0,-3
Kevin Durant,50:34,11,34,.324,4,10,.400,9,10,.900,0,8,8,3,0,1,5,3,35,-7
Russell Westbrook,47:21,3,22,.136,0,4,.000,8,8,1.000,1,3,4,10,1,0,3,5,14,-10
Serge Ibaka,46:12,9,16,.563,0,0,,0,1,.000,2,12,14,0,1,7,2,3,18,-4
Kendrick Perkins,43:11,2,3,.667,0,0,,0,0,,3,7,10,2,0,2,1,4,4,-8
Thabo Sefolosha,40:59,1,4,.250,1,3,.333,3,4,.750,2,8,10,1,3,1,4,4,6,-9
Nick Collison,15:32,3,6,.500,0,0,,0,0,,5,1,6,2,1,1,0,3,6,+3
Derek Fisher,13:35,2,4,.500,1,1,1.000,0,0,,1,0,1,2,1,0,0,1,5,0
James Harden,13:17,5,7,.714,1,2,.500,3,3,1.000,0,0,0,3,1,0,2,1,14,+3
Daequan Cook,13:03,1,3,.333,1,2,.500,1,2,.500,0,0,0,0,1,0,0,2,4,-4
Nazr Mohammed,4:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Royal Ivey,1:33,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Kobe Bryant,49:10,9,26,.346,2,3,.667,6,7,.857,1,5,6,8,1,0,3,1,26,+8
Pau Gasol,49:00,7,18,.389,0,2,.000,6,8,.750,6,8,14,9,2,1,1,1,20,+13
Ramon Sessions,30:23,4,10,.400,0,0,,0,2,.000,1,2,3,3,0,0,3,3,8,-8
Andrew Bynum,28:57,5,15,.333,0,0,,0,1,.000,2,6,8,1,0,5,0,3,10,-18
Metta World Peace,17:39,4,10,.400,0,3,.000,4,4,1.000,3,2,5,1,3,0,1,1,12,-3
Steve Blake,36:13,4,9,.444,3,5,.600,2,2,1.000,1,4,5,3,2,0,2,2,13,+19
Jordan Hill,35:09,6,11,.545,0,0,,2,4,.500,6,9,15,0,1,3,2,5,14,+27
Devin Ebanks,26:33,1,4,.250,0,1,.000,6,10,.600,3,2,5,0,2,1,1,1,8,+20
Matt Barnes,16:56,1,3,.333,0,2,.000,1,2,.500,2,4,6,1,1,0,0,2,3,-18
Jason Thompson,36:53,6,8,.750,0,0,,2,5,.400,2,9,11,7,5,1,1,1,14,+28
DeMarcus Cousins,32:24,11,21,.524,0,0,,7,9,.778,4,6,10,2,1,2,1,3,29,+31
Travis Outlaw,28:29,4,9,.444,0,0,,0,0,,2,0,2,2,2,1,1,1,8,+26
Tyreke Evans,24:57,10,11,.909,0,0,,2,2,1.000,0,3,3,3,2,0,0,3,22,+30
Isaiah Thomas,24:44,3,7,.429,2,3,.667,2,2,1.000,0,3,3,3,0,0,1,4,10,+21
Jimmer Fredette,23:03,5,13,.385,1,5,.200,0,0,,0,1,1,2,0,0,1,1,11,-4
Francisco García,16:57,1,3,.333,0,1,.000,0,0,,0,1,1,0,1,1,1,2,2,-1
Chuck Hayes,15:36,1,1,1.000,0,0,,0,0,,0,2,2,2,2,0,1,2,2,-5
Tyler Honeycutt,13:50,1,3,.333,0,0,,0,0,,0,2,2,1,0,1,0,1,2,+3
Terrence Williams,12:00,3,6,.500,0,0,,0,0,,1,1,2,1,0,0,0,0,6,+3
Donté Greene,11:07,3,5,.600,0,0,,2,2,1.000,0,0,0,0,0,0,1,1,8,-2
Hassan Whiteside,Did Not Dress,,,,,,,,,,,,,,,,,,,
Bismack Biyombo,34:48,4,11,.364,0,0,,0,0,,2,4,6,1,0,2,1,1,8,-28
Kemba Walker,32:56,6,16,.375,0,5,.000,1,4,.250,0,5,5,11,0,2,2,2,13,-18
Byron Mullens,30:10,6,11,.545,0,2,.000,1,2,.500,2,6,8,1,0,1,3,3,13,-17
Gerald Henderson,27:13,3,11,.273,0,1,.000,3,4,.750,1,2,3,1,1,1,3,1,9,-19
Derrick Brown,25:27,5,8,.625,0,1,.000,3,4,.750,4,3,7,3,1,0,2,1,13,-20
Matt Carroll,20:47,1,10,.100,1,4,.250,0,0,,0,1,1,2,0,0,0,2,3,-7
D.J. White,17:02,4,6,.667,0,0,,0,0,,2,3,5,2,0,2,0,1,8,-7
Cory Higgins,15:04,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,3,1,2,-8
Jamario Moon,13:50,3,5,.600,1,2,.500,0,0,,0,3,3,2,1,0,2,1,7,-3
Tyrus Thomas,11:56,5,6,.833,0,0,,0,0,,2,0,2,1,0,0,3,1,10,+4
DeSagana Diop,10:47,1,2,.500,0,0,,0,0,,3,1,4,3,0,0,0,1,2,-7
Reggie Williams,Did Not Dress,,,,,,,,,,,,,,,,,,,
D.J. Augustin,Did Not Dress,,,,,,,,,,,,,,,,,,,
Alan Anderson,34:40,2,12,.167,0,4,.000,0,0,,0,2,2,3,0,0,2,3,4,-6
Ben Uzoh,30:35,2,9,.222,0,0,,1,2,.500,0,4,4,1,2,0,4,0,5,-8
DeMar DeRozan,28:09,7,15,.467,1,2,.500,1,2,.500,0,1,1,3,1,1,1,2,16,-3
Aaron Gray,16:58,3,4,.750,0,0,,0,0,,2,5,7,1,1,1,1,3,6,-7
Amir Johnson,14:19,1,3,.333,0,0,,0,0,,0,2,2,1,0,1,1,1,2,-8
Ed Davis,28:40,3,5,.600,0,0,,1,2,.500,4,4,8,2,1,0,1,4,7,0
Solomon Alabi,24:00,2,7,.286,0,0,,2,2,1.000,4,6,10,0,1,1,0,3,6,+4
Linas Kleiza,22:49,4,10,.400,2,4,.500,2,2,1.000,0,3,3,2,1,0,1,5,12,+3
James Johnson,22:25,2,9,.222,0,2,.000,1,2,.500,1,4,5,4,0,2,1,5,5,+5
Gary Forbes,17:25,3,3,1.000,1,1,1.000,3,4,.750,0,3,3,4,1,0,5,2,10,+5
Tayshaun Prince,35:36,3,8,.375,0,2,.000,3,4,.750,0,4,4,0,0,1,3,0,9,+4
Greg Monroe,34:19,3,9,.333,0,1,.000,2,4,.500,5,12,17,1,2,1,0,1,8,+6
Rodney Stuckey,32:22,1,7,.143,0,1,.000,5,6,.833,0,3,3,6,2,0,2,2,7,-1
Brandon Knight,31:42,7,17,.412,0,3,.000,5,6,.833,1,2,3,2,1,0,2,2,19,+11
Jason Maxiell,18:56,1,5,.200,0,0,,1,4,.250,0,3,3,0,0,2,2,2,3,+8
Ben Gordon,27:44,6,11,.545,1,2,.500,6,8,.750,0,2,2,2,0,0,1,0,19,-6
Jonas Jerebko,22:21,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,2,2,-1
Charlie Villanueva,19:07,3,6,.500,1,4,.250,0,0,,0,3,3,1,0,0,1,1,7,-5
Ben Wallace,13:41,0,3,.000,0,0,,0,2,.000,1,2,3,3,0,0,0,0,0,-3
Will Bynum,4:12,1,2,.500,0,0,,0,1,.000,1,0,1,1,0,0,1,0,2,+2
Courtney Lee,38:50,5,11,.455,2,3,.667,2,3,.667,0,4,4,2,2,1,1,4,14,-4
Chandler Parsons,37:26,10,13,.769,3,5,.600,0,0,,2,4,6,2,4,1,3,4,23,+1
Goran Dragić,33:44,5,12,.417,1,4,.250,5,5,1.000,0,3,3,4,0,0,4,3,16,-10
Marcus Camby,21:15,1,5,.200,0,0,,1,1,1.000,3,4,7,1,0,1,1,0,3,+9
Luis Scola,20:35,5,10,.500,0,0,,2,2,1.000,1,3,4,1,1,0,2,4,12,+2
Patrick Patterson,32:22,7,11,.636,0,0,,0,0,,1,6,7,2,1,1,3,1,14,-14
Chase Budinger,27:14,2,7,.286,1,5,.200,0,0,,0,2,2,4,1,0,2,2,5,-19
Earl Boykins,14:16,0,3,.000,0,2,.000,1,2,.500,0,1,1,1,0,0,0,0,1,+1
Samuel Dalembert,9:21,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,2,0,0,-5
Marcus Morris,4:57,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-6
Norris Cole,37:34,7,15,.467,0,0,,2,2,1.000,3,1,4,1,0,0,3,4,16,-12
LeBron James,35:52,11,21,.524,1,3,.333,9,10,.900,1,7,8,5,1,2,5,1,32,+12
James Jones,28:19,1,7,.143,0,2,.000,5,5,1.000,0,4,4,0,1,0,0,1,7,0
Udonis Haslem,22:20,1,9,.111,0,0,,3,3,1.000,4,7,11,0,0,3,1,4,5,-11
Dexter Pittman,14:10,2,3,.667,0,0,,0,0,,4,2,6,1,0,0,1,2,4,-16
Shane Battier,29:13,4,8,.500,1,5,.200,0,0,,1,0,1,0,5,0,0,0,9,+25
Mike Miller,27:12,4,12,.333,3,5,.600,0,0,,1,5,6,2,0,0,0,0,11,+23
Joel Anthony,25:39,5,5,1.000,0,0,,1,2,.500,3,3,6,0,1,1,2,1,11,+15
Juwan Howard,10:46,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,1,1,0,+9
Terrel Harris,8:55,0,2,.000,0,1,.000,2,2,1.000,0,2,2,0,2,1,1,1,2,0
Dwyane Wade,Did Not Dress,,,,,,,,,,,,,,,,,,,
Mario Chalmers,Did Not Dress,,,,,,,,,,,,,,,,,,,
Charles Jenkins,48:00,12,22,.545,0,0,,0,0,,0,6,6,9,0,0,3,3,24,+5
Klay Thompson,42:38,8,21,.381,0,6,.000,1,1,1.000,1,3,4,3,1,2,3,1,17,+8
Richard Jefferson,25:05,4,8,.500,2,3,.667,0,0,,1,5,6,0,1,1,0,0,10,-14
Jeremy Tyler,22:17,4,12,.333,0,0,,0,1,.000,3,3,6,0,1,1,0,1,8,-18
Mickell Gladness,11:42,0,3,.000,0,0,,0,0,,1,2,3,0,0,0,1,5,0,-13
Brandon Rush,34:07,8,17,.471,3,7,.429,0,0,,0,9,9,2,0,1,0,1,19,+16
Dominic McGuire,31:53,4,5,.800,0,0,,4,6,.667,3,4,7,4,1,1,1,1,12,+22
Mikki Moore,24:18,1,4,.250,0,0,,1,2,.500,2,2,4,0,2,1,1,5,3,+19
Andris Biedriņš,Not With Team,,,,,,,,,,,,,,,,,,,
J.J. Barea,48:00,5,18,.278,2,9,.222,2,2,1.000,0,2,2,12,1,0,3,1,14,-5
Martell Webster,38:01,7,14,.500,4,9,.444,0,0,,0,5,5,1,0,0,1,2,18,+1
Nikola Peković,36:34,7,13,.538,0,0,,5,5,1.000,3,13,16,2,0,1,3,2,19,+5
Anthony Randolph,34:03,3,10,.300,0,0,,8,8,1.000,2,5,7,0,0,5,4,3,14,+6
Wesley Johnson,22:26,1,2,.500,1,2,.500,2,2,1.000,0,1,1,1,0,1,0,2,5,+10
Michael Beasley,25:35,3,11,.273,0,3,.000,2,2,1.000,2,7,9,1,0,2,1,2,8,-15
Anthony Tolliver,13:57,1,4,.250,0,2,.000,0,0,,1,1,2,1,0,1,0,0,2,-11
Derrick Williams,11:26,1,5,.200,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,4,-10
Wayne Ellington,9:59,2,5,.400,0,1,.000,0,0,,0,3,3,0,0,0,0,1,4,-6
Darko Miličić,Did Not Dress,,,,,,,,,,,,,,,,,,,
Kevin Love,Did Not Dress,,,,,,,,,,,,,,,,,,,
Antawn Jamison,31:17,8,20,.400,3,10,.300,2,3,.667,0,3,3,3,0,0,0,1,21,-1
Anthony Parker,30:03,4,9,.444,0,4,.000,0,0,,0,8,8,4,1,1,1,3,8,-1
Tristan Thompson,29:32,4,9,.444,0,0,,1,4,.250,5,4,9,2,1,2,2,2,9,+3
Kyrie Irving,29:30,8,18,.444,1,3,.333,2,2,1.000,0,2,2,3,3,1,4,2,19,-1
Manny Harris,26:25,5,10,.500,1,3,.333,3,4,.750,2,2,4,1,0,0,0,2,14,+3
Omri Casspi,20:55,1,6,.167,0,1,.000,3,4,.750,0,4,4,1,0,0,0,1,5,-11
Alonzo Gee,18:37,3,7,.429,0,0,,4,5,.800,2,3,5,0,1,0,2,2,10,-23
Donald Sloan,18:30,2,4,.500,0,1,.000,3,4,.750,0,1,1,0,0,0,2,1,7,-15
Samardo Samuels,18:28,2,3,.667,0,0,,1,2,.500,4,1,5,0,0,0,1,5,5,-19
Luke Walton,14:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-14
Luke Harangody,2:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Anderson Varejão,Did Not Dress,,,,,,,,,,,,,,,,,,,
Kawhi Leonard,31:37,3,8,.375,1,4,.250,4,6,.667,1,6,7,0,1,0,2,1,11,-1
DeJuan Blair,27:59,6,11,.545,0,0,,3,4,.750,1,6,7,3,2,0,1,4,15,0
Boris Diaw,22:43,3,7,.429,0,0,,0,0,,2,5,7,2,0,0,1,5,6,+1
Tony Parker,21:12,3,5,.600,0,1,.000,0,0,,0,2,2,9,0,1,1,2,6,+11
Danny Green,18:48,5,8,.625,3,5,.600,1,2,.500,0,1,1,0,1,1,1,0,14,+16
Stephen Jackson,22:28,5,9,.556,2,3,.667,5,7,.714,0,5,5,3,1,1,1,4,17,+14
Manu Ginóbili,22:00,9,12,.750,0,1,.000,2,2,1.000,0,3,3,3,1,0,3,0,20,0
Gary Neal,21:03,2,6,.333,1,2,.500,2,2,1.000,0,4,4,2,0,0,1,0,7,+5
Tiago Splitter,20:01,2,3,.667,0,0,,4,4,1.000,1,6,7,0,0,1,1,1,8,+16
Matt Bonner,18:56,0,4,.000,0,3,.000,0,0,,0,2,2,0,0,0,0,1,0,+17
Patty Mills,7:43,3,3,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,2,2,7,+2
James Anderson,5:30,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,3,-1
Ryan Anderson,38:01,9,18,.500,3,9,.333,3,3,1.000,5,4,9,1,1,1,1,4,24,-14
Glen Davis,34:56,4,8,.500,0,0,,6,6,1.000,1,2,3,1,0,0,3,3,14,-17
J.J. Redick,29:27,4,11,.364,1,4,.250,0,0,,0,2,2,3,3,0,2,1,9,-28
Jason Richardson,26:48,4,13,.308,1,4,.250,0,0,,2,3,5,4,2,0,1,1,9,-2
Jameer Nelson,1:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+2
