Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kwame Brown,23:07,1,3,.333,0,0,,3,6,.500,1,5,6,0,4,0,0,1,5,+21
Ekpe Udoh,13:08,2,4,.500,0,0,,0,0,,0,1,1,0,0,1,0,1,4,+12
Klay Thompson,10:41,0,2,.000,0,1,.000,0,0,,1,2,3,2,0,0,0,1,0,+8
Dominic McGuire,5:39,0,1,.000,0,0,,3,4,.750,0,0,0,0,0,0,0,0,3,-6
Ish Smith,4:16,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
Joe Johnson,26:15,4,11,.364,1,3,.333,2,2,1.000,0,2,2,1,1,0,0,0,11,+19
Al Horford,24:24,4,6,.667,0,0,,0,0,,1,3,4,1,1,1,0,1,8,+19
Jeff Teague,24:12,5,7,.714,3,4,.750,0,0,,0,3,3,3,0,0,2,1,13,+18
Marvin Williams,21:59,3,9,.333,2,4,.500,6,7,.857,4,5,9,3,2,0,1,1,14,+15
Josh Smith,16:35,2,7,.286,0,1,.000,1,2,.500,1,5,6,3,1,1,1,4,5,+10
Vladimir Radmanović,27:17,5,9,.556,3,5,.600,4,4,1.000,0,3,3,5,4,0,1,1,17,+24
Jannero Pargo,23:48,2,6,.333,2,3,.667,0,0,,0,3,3,3,1,0,3,5,6,+18
Willie Green,21:45,2,10,.200,1,2,.500,0,1,.000,2,1,3,1,0,1,0,4,5,+17
Zaza Pachulia,21:17,5,8,.625,0,0,,3,3,1.000,8,3,11,1,0,0,3,4,13,+16
Tracy McGrady,19:34,5,10,.500,0,0,,2,2,1.000,0,2,2,0,1,1,1,1,12,+18
Ivan Johnson,6:27,1,2,.500,0,0,,0,0,,1,3,4,1,0,0,0,1,2,+3
Jerry Stackhouse,6:27,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+3
Kris Humphries,24:58,4,8,.500,0,0,,3,4,.750,3,3,6,0,1,1,0,2,11,-18
Deron Williams,24:50,3,11,.273,2,3,.667,2,2,1.000,1,2,3,1,0,0,6,2,10,-22
Damion James,23:37,0,4,.000,0,0,,0,0,,0,3,3,0,1,0,4,2,0,-24
Johan Petro,15:25,0,2,.000,0,0,,0,0,,0,3,3,0,0,1,0,2,0,-18
Anthony Morrow,12:51,1,5,.200,1,3,.333,0,0,,0,1,1,0,1,0,1,2,3,-13
MarShon Brooks,27:44,5,12,.417,0,4,.000,7,8,.875,2,1,3,1,1,1,0,0,17,-15
Shawne Williams,21:17,1,4,.250,0,2,.000,0,0,,0,3,3,0,0,0,0,1,2,-13
Mehmet Okur,20:15,1,6,.167,1,4,.250,0,1,.000,0,2,2,1,0,0,2,5,3,-15
Sundiata Gaines,19:17,3,5,.600,0,1,.000,2,3,.667,0,4,4,4,1,0,4,2,8,-8
Shelden Williams,17:20,2,3,.667,0,0,,3,4,.750,2,2,4,0,0,1,0,3,7,-19
DeShawn Stevenson,12:25,0,4,.000,0,4,.000,2,2,1.000,0,2,2,1,0,0,0,1,2,-3
Jordan Farmar,12:10,1,4,.250,1,2,.500,0,0,,0,0,0,1,0,1,1,0,3,-10
Dennis Horner,7:51,1,3,.333,0,1,.000,2,2,1.000,1,1,2,0,0,0,0,0,4,-2
Rajon Rondo,44:09,7,15,.467,1,3,.333,7,11,.636,1,7,8,12,0,0,7,3,22,-5
Ray Allen,40:14,8,12,.667,6,8,.750,6,6,1.000,0,3,3,4,2,0,3,2,28,-12
Kevin Garnett,32:34,6,12,.500,0,0,,0,0,,0,5,5,2,3,1,3,1,12,-12
Jermaine O'Neal,21:54,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,1,4,0,-5
Sasha Pavlović,13:11,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,2,4,5,-6
Brandon Bass,32:29,5,10,.500,0,0,,3,5,.600,1,4,5,1,0,2,2,3,13,+1
Keyon Dooling,23:40,5,10,.500,4,6,.667,4,4,1.000,0,0,0,0,1,0,3,4,18,+12
Marquis Daniels,18:55,4,8,.500,0,0,,1,1,1.000,1,2,3,1,2,0,2,5,9,-10
Chris Wilcox,9:03,0,0,,0,0,,0,0,,1,2,3,0,0,0,1,0,0,0
Avery Bradley,3:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
Chris Bosh,37:07,8,11,.727,1,1,1.000,1,4,.250,1,10,11,1,0,1,3,2,18,+17
Dwyane Wade,36:06,8,15,.533,0,0,,8,10,.800,0,1,1,8,2,4,3,1,24,+21
LeBron James,36:00,9,14,.643,0,0,,8,9,.889,1,5,6,5,2,1,3,3,26,-7
Joel Anthony,20:24,2,2,1.000,0,0,,0,0,,1,1,2,0,1,2,1,4,4,+8
Mario Chalmers,18:53,1,1,1.000,1,1,1.000,1,2,.500,0,2,2,3,5,0,6,4,4,+8
Udonis Haslem,31:18,1,9,.111,0,0,,2,2,1.000,2,10,12,0,0,0,0,4,4,-5
Norris Cole,29:07,8,16,.500,0,3,.000,4,6,.667,1,3,4,4,3,0,3,2,20,0
Shane Battier,17:19,1,2,.500,1,2,.500,1,2,.500,0,0,0,1,2,0,1,2,4,+1
James Jones,7:29,3,3,1.000,3,3,1.000,0,0,,0,0,0,0,0,0,0,0,9,+1
Juwan Howard,6:17,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,0,2,-4
Kevin Love,40:26,6,18,.333,0,4,.000,19,24,.792,9,11,20,2,0,0,3,1,31,-1
Luke Ridnour,33:56,7,10,.700,2,2,1.000,1,2,.500,0,0,0,3,1,0,4,4,17,-6
Wesley Johnson,30:57,3,9,.333,2,4,.500,0,0,,0,4,4,0,0,0,1,1,8,-8
