MP,FG%,3P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.57,0.636,0.0,0.75,2.0,3.0,5.0,1.0,1.0,1.0,0.0,3.0,17.0
33.37,0.3,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,6.0
33.31,0.28600000000000003,0.25,0.833,1.0,3.0,4.0,2.0,0.0,1.0,5.0,1.0,14.0
33.02,0.455,0.667,1.0,0.0,3.0,3.0,6.0,2.0,1.0,3.0,2.0,17.0
21.39,0.429,0.0,1.0,3.0,4.0,7.0,1.0,1.0,0.0,0.0,5.0,8.0
19.43,0.33299999999999996,0.0,0.0,2.0,5.0,7.0,1.0,0.0,3.0,1.0,1.0,2.0
16.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
16.33,0.33299999999999996,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,9.0
14.23,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,1.0,2.0,0.0
12.54,0.2,0.5,0.75,1.0,2.0,3.0,3.0,0.0,0.0,2.0,4.0,6.0
36.3,0.273,0.667,0.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,8.0
35.29,0.33299999999999996,0.5,0.5,1.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,16.0
32.48,0.545,0.0,0.8,4.0,10.0,14.0,2.0,0.0,3.0,1.0,4.0,16.0
31.25,0.25,0.0,0.833,7.0,5.0,12.0,3.0,0.0,2.0,1.0,1.0,11.0
29.06,0.375,0.667,1.0,1.0,6.0,7.0,2.0,1.0,1.0,2.0,5.0,12.0
31.47,0.429,0.0,0.75,5.0,8.0,13.0,0.0,1.0,0.0,0.0,3.0,15.0
24.24,0.28600000000000003,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,3.0,4.0
12.31,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0
6.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
