"","AST","BLK","MP","PF","PTS","STL","TOV","TRB","TPP","FGP","FTP"
"199",0.15,0,0.391061452513966,0.333333333333333,0.228070175438596,0,0.1,0.0333333333333333,0.25,0.417,0.5
"200",0.1,0.0909090909090909,0.23516061452514,0.166666666666667,0.0701754385964912,0,0.1,0.166666666666667,0,0.25,1
"201",0,0,0.19465782122905,0.666666666666667,0.0701754385964912,0,0.1,0.133333333333333,0,1,0
"203",0,0.0909090909090909,0.67266061452514,0.5,0.315789473684211,0,0.4,0.3,0.5,0.5,1
"204",0.1,0,0.670391061452514,0.666666666666667,0.210526315789474,0.125,0.6,0.233333333333333,0,0.4,0
"205",0.4,0,0.530027932960894,0.333333333333333,0.333333333333333,0,0.2,0.0666666666666667,0.25,0.438,0.75
"206",0.45,0.181818181818182,0.523917597765363,0.5,0.157894736842105,0,0.1,0.366666666666667,0.5,0.444,0
"207",0.05,0.0909090909090909,0.373777932960894,0,0.140350877192982,0,0,0.166666666666667,0,0.5,1
"208",0.15,0,0.355621508379888,0.166666666666667,0.228070175438596,0.125,0,0.233333333333333,0,0.3,1
"214",0.15,0,0.666026536312849,0.333333333333333,0.578947368421053,0.125,0.2,0.166666666666667,0.4,0.522,1
"215",0.3,0,0.619413407821229,0.666666666666667,0.491228070175439,0.375,0.7,0.2,0,0.476,1
"216",0.05,0.0909090909090909,0.463337988826816,0.666666666666667,0.0701754385964912,0.25,0.1,0.266666666666667,0,0.25,1
"217",0,0.0909090909090909,0.427898044692737,0.666666666666667,0.0701754385964912,0,0,0.166666666666667,0,0,1
"218",0.05,0.0909090909090909,0.351256983240223,0.333333333333333,0.105263157894737,0,0.1,0.2,0,0.429,0
"221",0,0.0909090909090909,0.263617318435754,0.666666666666667,0.0350877192982456,0,0.1,0.0666666666666667,0,0.5,0
"223",0.1,0,0.21159217877095,0.333333333333333,0,0,0.1,0.0333333333333333,0,0,0
"224",0.25,0,0.715956703910615,0.5,0.385964912280702,0.125,0.3,0.4,0.333,0.429,0.75
"225",0.05,0.0909090909090909,0.63320530726257,0.333333333333333,0.421052631578947,0.125,0.2,0.166666666666667,0,0.407,0.667
"226",0.15,0,0.426501396648045,0.333333333333333,0.087719298245614,0,0.3,0.0333333333333333,0.333,0.5,0
"228",0.2,0,0.305691340782123,0.333333333333333,0.0350877192982456,0.125,0,0.1,0,0.333,0
"229",0.1,0,0.472765363128492,0.5,0.245614035087719,0,0,0.0666666666666667,0.333,0.545,1
